Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F123B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;2.97;2.35;0.0;0.019;5.339
F123B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;3.08;2.3;0.0;0.019;5.399
F124B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;4.8;2.236;0.0;0.0133;7.0493
F124B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;2.97;2.35;0.0;0.019;5.339
F124B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;3.08;2.3;0.0;0.019;5.399
F125B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;4.8;2.236;0.0;0.0133;7.0493
F125B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;2.97;2.35;0.0;0.019;5.339
F125B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;3.08;2.3;0.0;0.019;5.399
F126B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;4.8;2.236;0.0;0.0133;7.0493
F126B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;2.97;2.35;0.0;0.019;5.339
F126B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;3.08;2.3;0.0;0.019;5.399
F142;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM CINZA AUTOFLEX* 100M;RL;0.0;4.8;2.236;0.0;0.0133;7.0493
F142;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM CINZA AUTOFLEX* 100M;RL;0.0;2.97;2.35;0.0;0.019;5.339
F142;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM CINZA AUTOFLEX* 100M;RL;0.0;3.08;2.3;0.0;0.019;5.399
PL008B;CEA-PL 2X2,5MM;CORDAO PARALELO 2X2,5MM BRANCO AUTOFLEX* METRO (BOBINA);M;0.0;2.0;1.0;0.0;0.0133;3.0133
PL008B;CEA-PL 2X2,5MM;CORDAO PARALELO 2X2,5MM BRANCO AUTOFLEX* METRO (BOBINA);M;0.0;1.1;1.5;0.0;0.016;2.616
PL008B;CEA-PL 2X2,5MM;CORDAO PARALELO 2X2,5MM BRANCO AUTOFLEX* METRO (BOBINA);M;0.0;1.32;1.5;0.0;0.016;2.8360000000000003
PL009;CEA-PL 2X4,0MM;CORDAO PARALELO 2X4,0MM BRANCO AUTOFLEX* 100M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
PL009;CEA-PL 2X4,0MM;CORDAO PARALELO 2X4,0MM BRANCO AUTOFLEX* 100M;RL;0.0;1.76;1.9;0.0;0.018;3.678
PL009;CEA-PL 2X4,0MM;CORDAO PARALELO 2X4,0MM BRANCO AUTOFLEX* 100M;RL;0.0;1.98;1.8;0.0;0.018;3.798
PL009B;CEA-PL 2X4,0MM;CORDAO PARALELO 2X4,0MM BRANCO AUTOFLEX* METRO (BOBINA);M;0.0;3.126;1.709;0.0;0.0133;4.8483
PL009B;CEA-PL 2X4,0MM;CORDAO PARALELO 2X4,0MM BRANCO AUTOFLEX* METRO (BOBINA);M;0.0;1.76;1.9;0.0;0.018;3.678
PL009B;CEA-PL 2X4,0MM;CORDAO PARALELO 2X4,0MM BRANCO AUTOFLEX* METRO (BOBINA);M;0.0;1.98;1.8;0.0;0.018;3.798
F151;CEA-FLEX 1,0MM;CABO ELETRICO FLEXIVEL 1,0MM PRETO AUTOFLEX* 100M;RL;0.0;0.781;1.0;0.0;0.0133;1.7943000000000002
